列1,ネットワークシステム,情報セキュリティ,データサイエンス,ロボットインタラクション,コンピュータ基盤設計,組込みシステム,デジタルファブリケーション,脳科学,メディア処理技術,情報システム
青木研,4,2,3,2,1,2,1,1,5,6
赤岩研,2,1,6,0,3,1,0,0,1,1
赤崎研,0,0,3,0,0,0,0,6,0,0
秋山研,6,6,4,2,0,4,4,0,4,2
伊藤(慎)研,0,0,0,2,0,0,6,0,2,0
伊藤(浩)研,0,0,4,2,0,0,0,6,0,0
井上研,6,6,3,1,4,6,0,0,4,4
大本研,5,4,5,0,5,4,1,0,4,6
岡田研,0,0,3,0,0,0,0,0,0,0
荻野研,0,0,6,6,0,0,6,6,6,4
荻原研,6,4,3,1,6,5,1,0,2,6
奥田研,0,0,6,5,0,0,0,6,1,0
蚊野研,0,0,2,2,0,4,3,2,6,2
河合研,4,0,6,0,0,0,2,0,6,4
川村研,4,4,5,5,6,6,6,4,6,6
小林(和)研,6,6,2,4,0,4,4,0,4,2
小林(聡)研,6,6,6,6,6,6,6,6,6,6
瀬川研,3,0,3,3,6,6,6,0,3,0
田中研,0,0,4,2,0,0,0,6,3,0
玉田研,3,6,6,3,6,3,0,0,3,6
中島研,2,1,6,3,0,0,0,0,6,6
永谷研,2,2,5,6,2,5,6,5,6,2
新實研,1,0,1,0,6,4,2,0,3,4
林原研,6,6,3,3,6,6,0,0,3,6
平井研,3,3,6,6,5,6,5,5,6,3
水口研,4,3,5,6,3,4,6,5,6,4
宮森研,3,3,6,6,3,3,3,6,6,6
棟方研,3,3,6,6,3,6,6,6,6,6
安田研,6,5,0,3,5,5,5,0,3,3
吉村研,0,6,6,0,6,4,0,0,0,5
